Name	Age	Nationality	Club	Joined
Yang Cheng	32	China PR	Hebei China Fortune FC	2015-02-27
N. Douchez	38	France	Red Star FC	2018-07-21
U. Jenssen	21	Norway	FC Nordsjælland	2018-01-01
C. Dawson	22	England	Sheffield Wednesday	2013-04-01
F. Gino	25	Uruguay	Club Atlético Aldosivi	2018-07-23
Alberto Soro	19	Spain	Real Zaragoza	2017-07-01
C. Carrillo	25	Colombia	Millonarios FC	2018-01-11
D. Palacios	18	Ecuador	Willem II	2016-02-02
A. Baclet	32	France	Cosenza	2016-07-01
E. Jääger	33	Estonia	Vålerenga Fotball	2015-08-18
M. Hofmann	24	Austria	SK Rapid Wien	2013-07-01
J. Jach	24	Poland	Çaykur Rizespor	NA
G. Docherty	21	Scotland	Shrewsbury	NA
L. Escorcia	21	Colombia	Jaguares de Córdoba	2016-01-10
R. Rebolledo	21	Chile	Universidad Católica	2014-01-01
Toni Martínez	21	Spain	CF Rayo Majadahonda	NA
Ander Guevara	20	Spain	Real Sociedad	2017-07-01
D. Drescher	28	Austria	SKN St. Pölten	2018-07-01
J. Gammelby	23	Denmark	Brøndby IF	2018-06-15
J. Watts	26	United States	Houston Dynamo	2018-03-28
R. O'Donovan	32	Republic of Ireland	Newcastle Jets	2017-06-01
J. Rodríguez	22	Mexico	Club León	2014-01-01
D. Bičík	37	Czech Republic	Sparta Praha	2014-07-01
N. Vergos	22	Greece	Panathinaikos FC	2018-08-22
J. Narváez	27	Ecuador	NA	NA
R. Nyambe	20	Namibia	Blackburn Rovers	2015-07-01
E. Reséndez	22	Mexico	Monterrey	2017-06-24
D. Widgren	24	Sweden	Östersunds FK	2010-01-01
A. Cocco	32	Italy	Pescara	2015-08-31
O. Kefkir	26	Germany	KFC Uerdingen 05	2017-01-29
J. Tutuarima	25	Netherlands	De Graafschap	2017-07-01
Bruno Leite	23	Cape Verde	FK Haugesund	2017-01-08
J. Meekings	25	England	Dundee FC	2017-08-18
G. Lloris	22	France	OGC Nice	2015-07-01
M. Konczkowski	24	Poland	Piast Gliwice	2017-06-19
A. Jovanović	28	Australia	Jeju United FC	2017-02-10
C. Depres	23	France	Nîmes Olympique	2017-07-03
B. Cufré	21	Argentina	Vélez Sarsfield	2015-09-30
J. Asoro	19	Sweden	Swansea City	2018-07-14
R. Boguski	34	Poland	Wisła Kraków	2006-01-01
A. Jacobsen	28	Denmark	Odense Boldklub	2015-08-14
S. Miangue	21	Belgium	Standard de Liège	NA
A. Bernal	30	Colombia	América de Cali	NA
E. Capradossi	22	Italy	Spezia	NA
F. Perucchini	26	Italy	Ascoli	2018-08-10
T. Agyepong	22	Ghana	Hibernian	2015-04-01
G. Kharaishvili	21	Georgia	IFK Göteborg	2018-02-23
Iñigo Vicente	20	Spain	Athletic Club de Bilbao	2017-07-01
J. Baldwin	25	England	Sunderland	2018-07-28
R. Dekker	23	Netherlands	PEC Zwolle	2014-07-01
Cristo González	20	Spain	Real Madrid	2017-07-18
Diogo Costa	18	Portugal	FC Porto	2016-07-01
G. Koyalipou	18	France	Chamois Niortais Football Club	2017-12-01
Alan Sousa	21	Brazil	Vejle Boldklub	2017-01-31
R. Ramírez	22	Venezuela	Fortuna Sittard	2018-07-01
S. Fischer	29	Netherlands	Vendsyssel FF	2018-07-11
L. Kelly	28	Scotland	Coventry City	2017-07-01
C. Dorda	29	Germany	KFC Uerdingen 05	2017-07-01
N. Næss	25	Norway	SC Heerenveen	2017-08-30
D. Asprilla	26	Colombia	Portland Timbers	2014-12-08
K. Endo	20	Japan	Yokohama F. Marinos	2016-01-01
B. Sævarsson	33	Iceland	NA	NA
A. Acosta	30	Mexico	Tigres U.A.N.L.	2010-06-01
S. Carruthers	25	Republic of Ireland	Oxford United	NA
P. Mpanzu	24	England	Luton Town	2014-01-28
G. Milan	30	Argentina	Tiburones Rojos de Veracruz	2017-07-07
K. Chiba	33	Japan	Sanfrecce Hiroshima	2012-01-01
M. Boadu	17	Netherlands	AZ Alkmaar	2017-07-01
C. Doyle	33	Republic of Ireland	Heart of Midlothian	2018-07-19
Fran Rodríguez	23	Spain	UD Almería	2017-07-12
S. Jakubiak	25	Germany	Heracles Almelo	2017-07-14
M. Buchalik	29	Poland	Wisła Kraków	2014-07-01
N. Proschwitz	31	Germany	SV Meppen	2018-10-19
F. Banguero	29	Colombia	Millonarios FC	2017-01-01
M. El-Shenawy	29	Egypt	NA	NA
H. Iikura	32	Japan	Yokohama F. Marinos	2005-01-01
K. Gehring	30	Germany	SG Sonnenhof Großaspach	2013-07-01
P. McGowan	30	Scotland	Dundee FC	2014-07-01
J. Pierazzi	33	France	GFC Ajaccio	2018-07-01
Wang Yongpo	31	China PR	Tianjin Quanjian FC	2017-09-28
M. Sánchez	30	Argentina	San Martín de San Juan	2018-08-07
S. Gannon	26	Republic of Ireland	Dundalk	2013-11-04
C. Capone	19	Italy	Pescara	NA
C. Taylor	31	England	Blackpool	2018-07-01
R. Lange	29	Germany	FSV Zwickau	2015-07-01
A. Keita	26	Guinea	Os Belenenses	2018-07-13
B. Gueye	23	Senegal	SC Paderborn 07	2018-08-31
K. Wagner	21	Germany	FC Würzburger Kickers	2017-07-01
Xisco Campos	36	Spain	RCD Mallorca	2017-07-01
C. Robertson	24	Scotland	Rotherham United	2018-07-01
C. Conway	33	Scotland	Blackburn Rovers	2014-01-31
Jajá	23	Brazil	Kalmar FF	2015-01-01
A. Vanins	38	Latvia	FC Zürich	2016-06-29
O. Mendoza	29	Mexico	Club Tijuana	2018-07-09
A. Faltsetas	30	Sweden	BK Häcken	2017-01-24
J. Elsey	24	Australia	Adelaide United	2013-07-01
A. Plizzari	18	Italy	Milan	2016-07-01
D. Martin	32	England	Millwall	2017-09-01
Gu Cao	30	China PR	Henan Jianye FC	2017-09-27
L. Strizzolo	26	Italy	Cittadella	2016-07-01
Juan Rodríguez	23	Spain	Real Sporting de Gijón	2016-07-01
S. Moyano	27	Argentina	Gimnasia y Esgrima La Plata	2018-07-27
A. Schetino	24	Uruguay	Cosenza	NA
A. Caci	21	France	RC Strasbourg Alsace	2018-07-01
V. Janjetović	30	Australia	Western Sydney Wanderers	2017-01-04
N. Haas	22	Switzerland	Palermo	NA
T. Valls	22	France	Nîmes Olympique	2015-07-01
P. Herrmann	30	Germany	Holstein Kiel	2011-07-01
C. Ramsebner	29	Austria	LASK Linz	2015-07-01
L. Martinelli	29	Italy	Foggia	2016-07-01
Freire	28	Brazil	Shimizu S-Pulse	2017-01-27
T. Černý	33	Czech Republic	Aberdeen	2018-07-25
N. Spalek	21	Slovakia	Brescia	2017-01-24
N. Madonna	31	Italy	Padova	2016-06-30
M. Kobras	32	Austria	SCR Altach	2009-07-01
N. Bärkroth	26	Sweden	Djurgårdens IF	2018-07-19
M. Busellato	25	Italy	Foggia	2018-08-04
M. Stein	32	Germany	FC Energie Cottbus	2016-07-01
N. Bertrams	25	Netherlands	FC Nordsjælland	2018-07-06
A. Doukha	31	Algeria	Al Raed	2018-06-01
E. Quiñones	29	Colombia	Millonarios FC	2016-12-21
A. Sørensen	22	Denmark	SSV Jahn Regensburg	NA
Wang Zhuo	28	China PR	Guizhou Hengfeng FC	2012-01-01
B. Easton	30	Scotland	St. Johnstone FC	2013-07-08
A. Boyle	27	Republic of Ireland	Dundee FC	NA
V. Kravets	20	Ukraine	CD Lugo	2017-07-01
N. Law	30	England	Exeter City	2018-07-02
Basilio	34	Spain	CF Rayo Majadahonda	2015-07-05
K. Pearce	28	Barbados	Mansfield Town	2015-07-10
M. Edwards	19	England	Excelsior	NA
P. Brożek	35	Poland	Wisła Kraków	2018-09-20
L. Ravanelli	21	Italy	Padova	NA
A. Taylor	27	Wales	Northampton Town	2017-07-05
M. Nalepa	25	Poland	Lechia Gdańsk	2017-07-01
Lee Myung Jae	24	Korea Republic	Ulsan Hyundai FC	2014-01-01
Tang Xin	27	China PR	Guizhou Hengfeng FC	2016-02-23
A. Arregui	25	Argentina	San Martin de Tucumán	2014-01-01
H. El Sayed	26	Egypt	Ettifaq FC	2018-01-31
D. Horst	32	United States	Real Salt Lake	2017-01-26
Álex Barrera	27	Spain	Extremadura UD	2017-08-30
Ricardo Vaz	23	Portugal	CF Reus Deportiu	2015-01-27
L. Röser	24	Germany	SG Dynamo Dresden	2017-07-01
C. Feraud	27	Ecuador	Al Hazem	2018-06-26
R. Eckardt	28	Germany	FC Carl Zeiss Jena	2013-07-01
K. Heerings	28	Netherlands	Fortuna Sittard	2017-07-06
Lorenzao Masca	34	Brazil	Cruzeiro	2018-01-01
M. Ojeda	19	Argentina	Racing Club	2017-07-18
M. Ndockyt	19	Congo	RCD Mallorca	NA
P. Funk	28	Germany	VfR Aalen	2018-07-01
M. Fallatah	30	Saudi Arabia	Al Hilal	2017-07-13
Euller	23	Brazil	Al Shabab	2018-06-19
Liao Lisheng	25	China PR	Guangzhou Evergrande Taobao FC	2013-01-01
S. Findlay	22	Scotland	Kilmarnock	2018-07-04
H. Sönmez	27	Turkey	Atiker Konyaspor	2014-08-21
W. Norris	24	England	Wolverhampton Wanderers	2017-07-11
M. Spano Rahou	23	France	Grenoble Foot 38	2016-07-13
L. Zarandia	22	Georgia	Arka Gdynia	2017-01-29
Fábinho	33	Brazil	Philadelphia Union	2016-01-22
Zé Manuel	27	Portugal	Santa Clara	2018-07-05
B. Innocent	22	Nigeria	Malmö FF	2017-08-02
L. Page	22	England	Charlton Athletic	2017-01-06
B. Van Durmen	21	Belgium	Royal Excel Mouscron	2015-05-09
Jano	31	Spain	SV Mattersburg	2014-07-01
E. Larsson	26	Sweden	Malmö FF	2018-01-01
M. Ehmer	26	Germany	Gillingham	2015-07-02
V. Solomon-Otabor	22	Nigeria	Birmingham City	2014-06-16
V. Janjičić	19	Switzerland	Hamburger SV	2017-01-21
R. Blanco	28	Argentina	Curicó Unido	2018-01-07
N. Toko	27	DR Congo	Al Fateh	2018-07-15
J. Rafferty	24	Republic of Ireland	Rochdale	2012-07-01
Higinio	24	Spain	CD Numancia	2017-07-01
Danilo Sacrio	26	Brazil	Paraná	2018-01-01
T. Szántó	22	Hungary	SK Rapid Wien	2016-01-01
N. Ravaglia	29	Italy	US Cremonese	2015-07-07
H. Alpsoy	21	Turkey	Antalyaspor	2017-01-31
M. Migliorini	26	Italy	US Salernitana 1919	2018-08-26
Emílio Trevões	30	Brazil	Vitória	2018-01-01
L. Bergsma	21	Netherlands	AZ Alkmaar	2018-07-01
A. Marciniak	29	Poland	Arka Gdynia	2016-07-04
S. Kotysch	29	Germany	Sint-Truidense VV	2010-07-01
N. Peñailillo	26	Chile	Deportes Iquique	2017-01-01
Fu Huan	24	China PR	Shanghai SIPG FC	2012-02-06
B. Emir	30	Turkey	Göztepe SK	2018-07-06
Flávio Triginho	34	Brazil	Botafogo	2018-01-01
D. Haas	34	Germany	FC Erzgebirge Aue	2016-10-11
Magno Novaes	35	Brazil	AS Béziers	2015-10-09
S. Ferguson	26	Northern Ireland	Millwall	2016-01-27
S. Sinovic	31	United States	Sporting Kansas City	2015-12-09
B. Enobakhare	20	Nigeria	Kilmarnock	NA
T. McMahon	32	England	Oxford United	2018-07-01
E. Ba	25	France	Racing Club de Lens	2018-07-20
C. Ayala	32	Colombia	Rionegro Águilas	2018-01-11
Manuel Sánchez	30	Spain	Elche CF	2017-07-20
O. Bulut	24	Germany	Eintracht Braunschweig	2018-01-25
R. Godínez	25	Mexico	Lobos BUAP	2017-01-01
S. Anderson	32	Scotland	St. Johnstone FC	2004-07-01
A. Marchesano	27	Switzerland	FC Zürich	2015-09-01
E. Ndoj	21	Albania	Brescia	2016-01-31
D. Rose	30	England	Portsmouth	2016-07-01
J. Oumari	29	Lebanon	Sagan Tosu	2017-01-03
R. Festersen	31	Denmark	Odense Boldklub	2015-07-03
J. Blayac	35	France	GFC Ajaccio	2018-07-01
M. Ljujić	24	Serbia	Os Belenenses	2018-07-01
R. Vodišek	19	Slovenia	Genoa	2018-07-02
M. Marić	34	Switzerland	FC Lugano	2018-08-22
L. Frecklington	32	Republic of Ireland	Lincoln City	2018-01-11
M. Awad	25	Egypt	Al Wehda	2018-06-01
Dong Xuesheng	29	China PR	Hebei China Fortune FC	2016-02-25
J. Düker	22	Germany	SC Paderborn 07	2018-07-01
A. Dreyer	20	Denmark	Brighton & Hove Albion	2018-08-07
P. Estupiñán	20	Ecuador	RCD Mallorca	NA
D. Mast	26	Germany	FC Würzburger Kickers	2017-07-01
Andoni López	22	Spain	UD Almería	NA
F. Canales	31	Mexico	Lobos BUAP	2013-06-20
S. Scappini	30	Italy	Cittadella	2018-07-10
S. Nutz	26	Austria	SCR Altach	2017-07-01
J. Byrne	22	Republic of Ireland	Shamrock Rovers	2018-12-07
Dilson Calegari	34	Brazil	Vitória	2018-01-01
Cris	34	Portugal	CD Feirense	2011-07-01
K. Pannewitz	26	Germany	FC Carl Zeiss Jena	2017-08-14
B. Kopacz	26	Poland	Zagłębie Lubin	2017-06-20
H. Patronen	34	Finland	HJK Helsinki	2017-02-01
A. Capello	22	Italy	Padova	NA
He Guan	25	China PR	Shanghai SIPG FC	2014-07-16
V. Skjerve	30	Norway	FK Haugesund	2008-08-07
S. Williams	28	United States	LA Galaxy	2018-06-14
A. Hughes	26	Wales	Preston North End	2018-06-21
M. Jansen	25	Germany	SV Sandhausen	2016-07-01
R. Yates	20	England	Nottingham Forest	2016-07-01
D. Zeefuik	20	Netherlands	FC Groningen	2018-07-01
F. Della Rocca	30	Italy	Padova	2018-07-09
Z. Alomerović	27	Serbia	Lechia Gdańsk	2018-06-14
M. Gouaida	25	Tunisia	SV Sandhausen	2018-07-01
S. Adekugbe	23	Canada	Vålerenga Fotball	2018-01-08
N. Molina	20	Argentina	Defensa y Justicia	NA
M. Maâzou	29	Niger	Racing Club de Lens	2017-08-31
M. Lieder	28	Netherlands	SønderjyskE	2018-07-01
W. Kaptoum	21	Cameroon	Real Betis	2018-01-30
M. Finotto	25	Italy	Cittadella	NA
P. Becker	25	Argentina	CD Antofagasta	NA
D. Rangelov	35	Bulgaria	FC Energie Cottbus	2018-10-18
M. Oxley	27	England	Southend United	2016-07-12
B. Coker	29	England	Southend United	2013-07-15
Sim Sang Min	25	Korea Republic	FC Seoul	2014-01-01
H. Zuck	27	Germany	1. FC Kaiserslautern	2018-07-01
H. Zapata	23	Colombia	La Equidad	2018-02-07
C. Lines	32	England	Bristol Rovers	2015-07-01
M. Sollbauer	28	Austria	Wolfsberger AC	2010-07-01
R. Jansson	26	Sweden	AIK	2018-04-03
A. Guido	24	United States	Club Tijuana	2012-07-01
I. González	26	Mexico	Monarcas Morelia	2012-01-01
H. Al Hazaa	26	Saudi Arabia	Ettifaq FC	2012-07-01
F. Castillón	32	Argentina	Club Atlético Aldosivi	2018-07-23
W. Harding	21	England	Birmingham City	2015-03-19
G. Tansey	29	England	Aberdeen	2017-06-09
H. Ojamaa	27	Estonia	Miedź Legnica	2018-07-01
M. Ríos	34	Chile	Deportes Iquique	2018-01-01
M. Tévez	21	Argentina	Defensa y Justicia	NA
E. Sosa	22	Venezuela	Columbus Crew SC	2018-01-09
T. Lapslie	22	England	Colchester United	2012-12-01
M. Sauer	24	Germany	SpVgg Greuther Fürth	2018-07-01
R. Descamps	22	France	Clermont Foot 63	NA
J. Álvarez	22	Argentina	Club Atlético Banfield	2017-04-25
A. Ludwig	25	Denmark	Odense Boldklub	2018-07-01
C. Dunne	25	Republic of Ireland	Motherwell	2017-07-23
L. Rodríguez	24	Argentina	Club Atlético Tigre	NA
J. Gómez	22	Colombia	Junior FC	2017-06-16
J. Aribo	21	England	Charlton Athletic	2015-09-04
Gabriel	20	Brazil	LOSC Lille	2017-01-31
C. Machado	28	Bolivia	New England Revolution	2018-07-23
L. Kruse	34	Germany	Eintracht Braunschweig	2018-10-02
S. McConville	29	England	Accrington Stanley	2015-07-01
D. Drocco	29	Argentina	Club Atlético Huracán	2018-07-25
A. Sušac	29	Croatia	VfL Osnabrück	2017-08-10
M. Perlak	32	Austria	SV Mattersburg	2014-07-01
B. Clarke	30	Republic of Ireland	Charlton Athletic	2017-07-01
Eduardo	25	Brazil	Kawasaki Frontale	2017-01-02
K. Dawson	28	Republic of Ireland	Cheltenham Town	2017-07-01
H. McGahey	22	England	Rochdale	2016-07-01
Gu Chao	28	China PR	Jiangsu Suning FC	2016-01-01
R. Caballero	27	Paraguay	Rionegro Águilas	2018-07-04
Ever Rodeiro	34	Brazil	Botafogo	2018-01-01
X. Arreaga	23	Ecuador	NA	NA
C. Cercado	29	Mexico	Lobos BUAP	2012-12-31
H. Al Raheb	34	Saudi Arabia	Al Shabab	2018-10-30
C. Schuler	30	United States	Orlando City SC	2018-03-02
S. Mantom	26	England	Southend United	2018-06-22
O. Bouy	25	Netherlands	PEC Zwolle	NA
J. Dongou Tsafack	23	Cameroon	CD Lugo	2018-07-12
P. Mainka	23	Germany	1. FC Heidenheim 1846	2018-07-01
A. Kantari	33	Morocco	Valenciennes FC	2016-07-01
T. Mavromatis	21	Greece	Panathinaikos FC	2015-07-01
Li Lei	26	China PR	Beijing Sinobo Guoan FC	2015-01-17
Raphael Doninho	30	Brazil	Grêmio	2018-01-01
K. Bülow	32	Germany	FC Hansa Rostock	2018-07-20
R. Magyar	27	Sweden	SpVgg Greuther Fürth	2017-07-01
F. Brillant	33	France	DC United	2017-12-11
K. Tamada	38	Japan	Nagoya Grampus	2017-01-01
M. Ballmert	24	Germany	SV Meppen	2017-07-01
M. Laínez	22	Mexico	Lobos BUAP	2018-07-01
K. Mayi	25	France	Stade Brestois 29	2017-08-26
N. Manfredini	30	Italy	Spezia	2017-11-13
K. Koizumi	23	Japan	Kashiwa Reysol	2017-12-29
C. Aneke	24	England	Milton Keynes Dons	2016-08-02
Juan Cruz	25	Spain	Elche CF	2018-07-10
S. Olivarez	26	Argentina	Belgrano de Córdoba	NA
P. Gladon	26	Netherlands	Sint-Truidense VV	NA
E. Aydoğan	21	Turkey	Bursaspor	2015-01-15
V. Pule	26	South Africa	Orlando Pirates	2018-06-11
Daniel Fuzato	20	Brazil	Roma	2018-07-10
G. Valverde	28	Bolivia	NA	NA
D. de Vries	37	Netherlands	Celtic	2016-08-14
A. Lithgow	30	Scotland	Livingston FC	2018-05-23
L. Nicholls	25	England	Milton Keynes Dons	2016-08-03
R. Teibert	25	Canada	Vancouver Whitecaps FC	2011-01-01
M. Figueroa	28	Argentina	San Martin de Tucumán	2018-07-23
A. Nübel	21	Germany	FC Schalke 04	2015-08-27
Z. Al Sahafi	24	Saudi Arabia	Al Ittihad	2015-07-01
J. Schouten	21	Netherlands	Excelsior	2018-07-01
R. Rep	28	Slovenia	TSV Hartberg	2018-07-04
M. Rubin	30	Italy	Foggia	2016-08-25
L. Guldan	35	Slovakia	Zagłębie Lubin	2013-07-01
C. Telo	28	Sweden	Molde FK	2017-07-28
M. Pearson	24	England	Luton Town	2018-06-26
Ricardo Alves	27	Portugal	CD Tondela	2018-08-30
T. Paredes	25	Paraguay	Newell's Old Boys	2015-01-01
Kauã Reisende	26	Brazil	Bahia	2018-01-01
L. Madrigal	25	Mexico	Monterrey	2011-01-01
Augusto César	25	Brazil	Querétaro	2018-08-19
D. Holm	32	Norway	Vålerenga Fotball	2013-02-04
Y. Akimoto	30	Japan	Shonan Bellmare	2017-01-01
J. Beckford	34	Jamaica	Bury	2017-07-01
N. Crovetto	32	Chile	Audax Italiano	2017-06-01
Y. Maruyama	29	Japan	Nagoya Grampus	2018-07-16
B. Jatta	20	Gambia	Hamburger SV	2016-07-01
G. Merebashvili	31	Georgia	Wisła Płock	2016-07-12
D. Vaughan	35	Wales	Notts County	2018-07-06
T. Mauricio	24	France	Valenciennes FC	2017-07-22
K. Dougall	25	Australia	Barnsley	2018-07-27
D. Arreola	32	Mexico	Puebla FC	2018-07-01
J. Cousins	24	England	Queens Park Rangers	2016-07-13
J. Duma	24	Argentina	CD Antofagasta	2018-01-23
T. Spurr	30	England	Fleetwood Town	NA
J. Martínez	23	Peru	CF Rayo Majadahonda	2017-01-01
C. Schoppenhauer	26	Germany	FC St. Pauli	2017-07-01
L. Roberts	23	England	Walsall	2014-07-22
M. Pellegrini	18	Argentina	Estudiantes de La Plata	2018-07-23
C. Schwegler	34	Switzerland	FC Luzern	2017-06-27
K. Petersen	33	Denmark	Odense Boldklub	2016-07-01
J. Vet	24	Netherlands	De Graafschap	2018-07-01
H. Kawano	28	Japan	Sagan Tosu	2017-08-09
F. Stokkers	22	Netherlands	Fortuna Sittard	2017-01-31
G. Gómez	22	Argentina	Racing Club	2014-01-01
M. Lund	27	Northern Ireland	Scunthorpe United	2018-08-03
M. Jankowski	28	Poland	Arka Gdynia	2018-03-02
A. Maisonnial	20	France	FC Sion	2018-07-01
M. Lugo	28	Paraguay	Belgrano de Córdoba	2018-01-16
D. Niwa	32	Japan	FC Tokyo	2018-07-18
C. Riegler	26	Austria	SKN St. Pölten	2010-07-01
R. Lundqvist	21	Sweden	PSV	2016-07-01
S. Muniru	25	Ghana	Yeni Malatyaspor	2018-08-28
Zhang Lu	30	China PR	Tianjin Quanjian FC	2017-09-28
J. Reeves	25	England	Bradford City	2017-07-04
E. Ward	33	England	Notts County	2018-09-03
J. Tamm	26	Estonia	Sarpsborg 08 FF	2015-07-01
M. Heylen	24	Belgium	SV Zulte-Waregem	2017-07-01
G. Gallon	25	France	US Orléans Loiret Football	2017-06-21
T. Adarabioyo	20	England	West Bromwich Albion	2014-10-01
L. Martin	31	England	Exeter City	2018-07-24
F. Ferrari	22	Italy	Brescia	NA
Trujillo	30	Spain	UD Almería	2016-08-05
Kim Yong Dae	38	Korea Republic	Ulsan Hyundai FC	2016-02-10
E. Babayan	22	Armenia	Hobro IK	2013-09-15
Diogo Santos	33	Portugal	Santa Clara	2016-07-01
T. Borevković	21	Croatia	Rio Ave FC	2018-07-01
J. Jacobson	31	Wales	Wycombe Wanderers	2014-07-01
Benja	30	Spain	Elche CF	2017-07-07
D. Phillips	23	England	Charlton Athletic	2013-07-09
G. Aburjania	23	Georgia	CD Lugo	NA
J. Riley	21	England	Bradford City	2018-07-01
A. Matějů	22	Czech Republic	Brescia	NA
Filipe Brigues	27	Portugal	GD Chaves	2018-07-01
J. Zelený	25	Czech Republic	SK Slavia Praha	2018-07-01
S. Svendsen	20	Norway	Hammarby IF	2017-08-11
J. Moreno	21	Colombia	Once Caldas	2014-08-10
R. Bushiri	18	Belgium	KAS Eupen	NA
H. Rivero	25	Argentina	Deportivo Pasto	2018-07-31
M. Grella	31	United States	Columbus Crew SC	2018-02-07
I. Lanni	28	Italy	Ascoli	2014-07-01
A. Sané	25	Senegal	FC Sochaux-Montbéliard	2018-07-01
F. Castillo	28	Colombia	Jaguares de Córdoba	2017-01-14
M. Galmarini	36	Argentina	Club Atlético Tigre	2014-07-11
A. Monfray	27	France	US Orléans Loiret Football	2017-06-15
B. Castillo	40	Colombia	Atlético Huila	2017-01-06
S. Diop	18	France	AS Monaco	2018-07-01
Yin Hongbo	28	China PR	Hebei China Fortune FC	2017-01-12
A. Hainault	32	Canada	1. FC Kaiserslautern	2018-07-01
D. Čotra	33	Serbia	Śląsk Wrocław	2017-07-01
C. Washington	26	Northern Ireland	Sheffield United	2018-08-31
F. Nimani	29	France	Neuchâtel Xamax	2017-01-30
M. Macey	23	England	Plymouth Argyle	NA
M. Doyle	36	Republic of Ireland	Coventry City	2017-07-01
D. Raum	20	Germany	SpVgg Greuther Fürth	2016-11-05
V. Retamal	20	Chile	Unión La Calera	2016-12-08
A. Cruz	20	Mexico	Lobos BUAP	2018-07-01
M. Bruscagin	28	Italy	Venezia FC	2017-07-20
C. Morris	22	England	Norwich City	2013-12-16
A. Syhre	23	Germany	FC Würzburger Kickers	2017-07-01
L. Paz	29	Colombia	Deportes Tolima	2015-12-21
L. Dos Santos	25	France	Valenciennes FC	2017-06-11
A. Akinfenwa	36	England	Wycombe Wanderers	2016-07-10
Jin Jingdao	26	China PR	Shandong Luneng TaiShan FC	2013-02-22
F. Bonazzoli	21	Italy	Padova	NA
B. Tetteh	20	Ghana	Sparta Praha	2018-07-17
J. Grot	20	Netherlands	VVV-Venlo	NA
G. Notsuda	24	Japan	Vegalta Sendai	NA
D. Jones	21	United States	Philadelphia Union	2016-07-27
N. Hansen	23	Denmark	Columbus Crew SC	2017-01-13
T. Beltran	30	United States	Real Salt Lake	2008-01-01
D. Peitz	33	Germany	Holstein Kiel	2016-07-01
D. Starkl	24	Austria	FC Admira Wacker Mödling	2016-07-01
D. Erdmann	27	Germany	1. FC Magdeburg	2017-07-01
J. Vela	25	Colombia	Boyacá Chicó FC	2018-07-03
A. Jakobsen	24	Egypt	IFK Norrköping	2017-07-21
J. Segura	21	Colombia	Independiente Medellín	NA
R. Miller	33	Costa Rica	Portland Timbers	2017-01-04
U. Cardona	19	Mexico	Club Atlas	2017-06-01
J. Karacan	29	Turkey	Millwall	2018-08-17
L. Saldaña	28	Colombia	Alianza Petrolera	2017-01-09
G. Roberts	34	England	Wigan Athletic	2017-08-29
K. Bennett	27	England	Bristol Rovers	2018-02-01
C. Tanner	23	England	Motherwell	2017-07-01
S. Ernst	23	Germany	SpVgg Greuther Fürth	2017-07-01
B. Akintola	22	Nigeria	FK Haugesund	NA
A. Taylor	31	England	Bolton Wanderers	2017-07-01
K. Yonekura	30	Japan	Gamba Osaka	2014-01-01
Rúben Vinagre	19	Portugal	Wolverhampton Wanderers	2018-07-09
M. Drudi	31	Italy	Cittadella	2018-07-05
K. Ilsø	31	Denmark	Adelaide United	2018-07-06
V. Moren	27	Finland	Waasland-Beveren	2015-07-30
Lucas	21	Brazil	SC Braga	2014-07-01
J. Norwood	27	England	Tranmere Rovers	2015-07-01
P. Frick	26	Sweden	IF Elfsborg	2012-01-01
I. Ssewankambo	22	Sweden	Molde FK	2016-03-03
T. Skarke	21	Germany	1. FC Heidenheim 1846	2015-07-01
Luis Marleiro	26	Brazil	América FC (Minas Gerais)	2018-01-01
M. Pulkrab	21	Czech Republic	Sparta Praha	2016-01-01
L. Brown	27	England	Portsmouth	2018-07-01
R. Gaddis	28	United States	Philadelphia Union	2012-01-01
Lee Yeong Jae	23	Korea Republic	Ulsan Hyundai FC	2015-01-01
F. Sakala	21	Zambia	KV Oostende	2018-07-09
Park Jun Tae	28	Korea Republic	Jeonnam Dragons	2018-01-05
N. Saint-Ruf	25	France	AS Nancy Lorraine	2017-08-14
A. Lienhart	32	Austria	SCR Altach	2009-07-01
M. Sema	29	Sweden	GIF Sundsvall	2018-03-27
M. Bennett	21	England	Derby County	2011-08-09
N. Hasler	27	Liechtenstein	Chicago Fire	2018-07-20
Q. Moll	27	Germany	TSV 1860 München	2018-07-01
M. Woods	32	Scotland	Dundee FC	2018-11-02
D. Templeton	29	Scotland	Burton Albion	2018-07-05
Lim Sang Hyub	29	Korea Republic	Suwon Samsung Bluewings	2018-01-04
M. Rivero	28	Argentina	Belgrano de Córdoba	NA
S. Yamamoto	33	Japan	Kashima Antlers	2014-01-01
J. Biada	25	Germany	1. FC Kaiserslautern	2018-07-01
M. Torres	20	Argentina	Club Atlético Banfield	NA
R. Janicki	25	Poland	Lech Poznań	NA
D. Mahmudov	28	FYR Macedonia	Excelsior	2018-07-01
Aitor	31	Spain	Extremadura UD	2017-02-01
A. Vukotić	22	Serbia	Waasland-Beveren	2018-07-01
M. Marshall	31	Jamaica	Charlton Athletic	2017-07-01
N. Mohammed	24	Ghana	BK Häcken	2012-08-01
J. Walsh	26	Wales	Milton Keynes Dons	2015-05-28
T. Bergmann	21	Germany	1. FC Kaiserslautern	2018-07-01
Jony Ñíguez	33	Spain	Elche CF	2018-01-01
P. Carlgren	26	Sweden	Randers FC	2018-07-08
J. Rossiter	21	England	Rangers FC	2016-07-01
